order_id,customer_id,product_id,quantity,unit_price,order_ts,status
O2026080100000,C0011,P010,1.0,54.99,2026-08-01 14:56:00,
O2026080100001,C0079,P002,1.0,89.99,2026-08-01 10:55:00,COMPLETED
O2026080100002,C0048,P007,1.0,15.0,2026-08-01 01:40:00,COMPLETED
O2026080100003,C0019,P007,-1.0,15.0,2026-08-01 21:51:00,COMPLETED
O2026080100004,C0065,P003,1.0,34.5,2026-08-01 10:58:00,CANCELLED
O2026080100005,C0079,P010,2.0,54.99,2026-08-01 03:10:00,COMPLETED
O2026080100006,C0009,P006,-1.0,12.75,2026-08-01 20:20:00,CANCELLED
O2026080100007,C0056,P009,2.0,65.0,2026-08-01 05:17:00,CANCELLED
O2026080100008,C0068,P004,-1.0,349.0,2026-08-01 20:10:00,CANCELLED
O2026080100009,C0021,P003,2.0,34.5,2026-08-01 03:46:00,COMPLETED
O2026080100010,C0010,P001,1.0,19.99,2026-08-01 10:45:00,CANCELLED
O2026080100011,C0019,P005,1.0,219.0,2026-08-01 07:50:00,COMPLETED
O2026080100012,C0019,P006,3.0,12.75,2026-08-01 13:48:00,COMPLETED
O2026080100013,C0026,P003,2.0,34.5,2026-08-01 08:54:00,COMPLETED
O2026080100014,C0020,P003,-1.0,34.5,2026-08-01 06:39:00,COMPLETED
O2026080100015,C0008,P010,2.0,54.99,2026-08-01 06:09:00,
O2026080100016,C0073,P008,1.0,42.3,2026-08-01 22:09:00,CANCELLED
O2026080100017,C0016,P004,1.0,349.0,2026-08-01 17:28:00,CANCELLED
O2026080100018,C0013,P007,1.0,15.0,2026-08-01 05:04:00,
O2026080100019,C0019,P003,1.0,34.5,2026-08-01 05:08:00,COMPLETED
O2026080100020,C0057,P006,1.0,12.75,2026-08-01 08:56:00,
O2026080100021,C0058,P010,2.0,54.99,2026-08-01 20:12:00,COMPLETED
O2026080100022,C0077,P008,2.0,42.3,2026-08-01 10:10:00,COMPLETED
O2026080100023,C0049,P001,-1.0,19.99,2026-08-01 11:05:00,COMPLETED
O2026080100024,C0015,P007,-1.0,15.0,2026-08-01 17:17:00,COMPLETED
O2026080100025,C0054,P006,2.0,12.75,2026-08-01 00:24:00,COMPLETED
O2026080100026,C0058,P010,-1.0,54.99,2026-08-01 00:52:00,COMPLETED
O2026080100027,C0074,P008,1.0,42.3,2026-08-01 16:30:00,CANCELLED
O2026080100028,C0017,P007,1.0,15.0,2026-08-01 19:36:00,
O2026080100029,C0011,P005,,219.0,2026-08-01 20:13:00,COMPLETED
O2026080100030,C0077,P009,2.0,65.0,2026-08-01 06:12:00,
O2026080100031,C0026,P009,1.0,65.0,2026-08-01 20:56:00,COMPLETED
O2026080100032,C0070,P001,1.0,19.99,2026-08-01 16:35:00,
O2026080100033,C0026,P007,2.0,15.0,2026-08-01 15:08:00,CANCELLED
O2026080100034,C0058,P002,2.0,89.99,2026-08-01 03:08:00,COMPLETED
O2026080100035,C0006,P004,2.0,349.0,2026-08-01 19:00:00,COMPLETED
O2026080100036,C0016,P005,-1.0,219.0,2026-08-01 10:32:00,CANCELLED
O2026080100037,C0071,P010,1.0,54.99,2026-08-01 14:42:00,COMPLETED
O2026080100038,C0075,P008,2.0,42.3,2026-08-01 08:47:00,CANCELLED
O2026080100039,C0045,P002,-1.0,89.99,2026-08-01 05:24:00,
O2026080100040,C0011,P010,1.0,54.99,2026-08-01 19:55:00,
O2026080100041,C0011,P001,2.0,19.99,2026-08-01 18:28:00,COMPLETED
O2026080100042,C0043,P004,3.0,349.0,2026-08-01 23:17:00,
O2026080100043,C0078,P007,1.0,15.0,2026-08-01 01:37:00,COMPLETED
O2026080100044,C0066,P001,1.0,19.99,2026-08-01 19:38:00,
O2026080100045,C0039,P001,1.0,19.99,2026-08-01 20:40:00,
O2026080100046,C0006,P008,1.0,42.3,2026-08-01 03:56:00,CANCELLED
O2026080100047,C0010,P009,2.0,65.0,2026-08-01 19:17:00,
O2026080100048,C0067,P004,3.0,349.0,2026-08-01 00:27:00,CANCELLED
O2026080100049,C0020,P009,1.0,65.0,2026-08-01 14:55:00,
O2026080100050,C0077,P003,1.0,34.5,2026-08-01 13:11:00,COMPLETED
O2026080100051,C0001,P001,2.0,19.99,2026-08-01 11:56:00,COMPLETED
O2026080100052,C0028,P007,2.0,15.0,2026-08-01 02:14:00,COMPLETED
O2026080100053,C0028,P009,3.0,65.0,2026-08-01 23:49:00,COMPLETED
O2026080100054,C0078,P008,1.0,42.3,2026-08-01 10:49:00,COMPLETED
O2026080100055,C0073,P009,2.0,65.0,2026-08-01 23:33:00,COMPLETED
O2026080100056,C0032,P003,1.0,34.5,2026-08-01 22:47:00,CANCELLED
O2026080100057,C0058,P010,1.0,54.99,2026-08-01 04:50:00,CANCELLED
O2026080100058,C0037,P007,2.0,15.0,2026-08-01 05:01:00,COMPLETED
O2026080100059,C0061,P006,-1.0,12.75,2026-08-01 20:38:00,COMPLETED
O2026080100060,C0048,P010,1.0,54.99,2026-08-01 03:02:00,COMPLETED
O2026080100061,C0030,P003,2.0,34.5,2026-08-01 18:51:00,COMPLETED
O2026080100062,C0016,P009,1.0,65.0,2026-08-01 02:18:00,COMPLETED
O2026080100063,C0016,P008,2.0,42.3,2026-08-01 11:45:00,COMPLETED
O2026080100064,C0002,P010,1.0,54.99,2026-08-01 19:08:00,COMPLETED
O2026080100065,C0011,P003,1.0,34.5,2026-08-01 21:29:00,COMPLETED
O2026080100066,C0031,P001,3.0,19.99,2026-08-01 14:18:00,
O2026080100067,C0034,P004,2.0,349.0,2026-08-01 17:33:00,COMPLETED
O2026080100068,C0048,P003,1.0,34.5,2026-08-01 12:41:00,COMPLETED
O2026080100069,C0029,P006,2.0,12.75,2026-08-01 00:30:00,COMPLETED
O2026080100070,C0017,P008,1.0,42.3,2026-08-01 10:05:00,
O2026080100071,C0012,P007,2.0,15.0,2026-08-01 05:06:00,COMPLETED
O2026080100072,C0046,P006,2.0,12.75,2026-08-01 11:36:00,COMPLETED
O2026080100073,C0005,P003,1.0,34.5,2026-08-01 04:04:00,COMPLETED
O2026080100074,C0037,P006,-1.0,12.75,2026-08-01 23:37:00,COMPLETED
O2026080100075,C0070,P007,2.0,15.0,2026-08-01 10:28:00,COMPLETED
O2026080100076,C0058,P010,1.0,54.99,2026-08-01 10:40:00,
O2026080100077,C0018,P008,-1.0,42.3,2026-08-01 09:00:00,
O2026080100078,C0023,P009,1.0,65.0,2026-08-01 09:01:00,COMPLETED
O2026080100079,C0022,P005,2.0,219.0,2026-08-01 09:01:00,COMPLETED
O2026080100080,C0064,P009,1.0,65.0,2026-08-01 06:26:00,COMPLETED
O2026080100081,C0046,P008,2.0,42.3,2026-08-01 13:24:00,COMPLETED
O2026080100082,C0052,P001,2.0,19.99,2026-08-01 06:55:00,COMPLETED
O2026080100083,C0046,P010,2.0,54.99,2026-08-01 16:27:00,COMPLETED
O2026080100084,C0067,P009,-1.0,65.0,2026-08-01 10:35:00,COMPLETED
O2026080100085,C0055,P004,2.0,349.0,2026-08-01 09:17:00,COMPLETED
O2026080100086,C0080,P005,2.0,219.0,2026-08-01 22:52:00,COMPLETED
O2026080100087,C0078,P007,-1.0,15.0,2026-08-01 12:29:00,CANCELLED
O2026080100088,C0046,P006,2.0,12.75,2026-08-01 10:52:00,CANCELLED
O2026080100089,C0017,P001,1.0,19.99,2026-08-01 02:01:00,COMPLETED
O2026080100090,C0043,P006,-1.0,12.75,2026-08-01 00:42:00,COMPLETED
O2026080100091,C0072,P002,1.0,89.99,2026-08-01 10:09:00,COMPLETED
O2026080100092,C0070,P003,1.0,34.5,2026-08-01 06:54:00,COMPLETED
O2026080100093,C0030,P009,1.0,65.0,2026-08-01 05:28:00,COMPLETED
O2026080100094,C0003,P008,1.0,42.3,2026-08-01 09:24:00,COMPLETED
O2026080100095,C0012,P002,1.0,89.99,2026-08-01 01:52:00,COMPLETED
O2026080100096,C0076,P002,1.0,89.99,2026-08-01 00:14:00,COMPLETED
O2026080100097,C0031,P009,1.0,65.0,2026-08-01 10:37:00,COMPLETED
O2026080100098,C0069,P002,,89.99,2026-08-01 19:33:00,COMPLETED
O2026080100099,C0006,P007,3.0,15.0,2026-08-01 06:10:00,COMPLETED
